input_date,daily_dist_mrv,daily_voyage_time_mrv,daily_speed_mrv,daily_fuel_mrv,num
2021-09-26 00:00:00+00:00,354.0,23.0,15.39,66.75,1
2021-09-27 00:00:00+00:00,360.0,24.0,15.0,61.37,1
2021-09-28 00:00:00+00:00,360.0,24.0,15.0,61.06,1
2021-09-28 22:00:00+00:00,355.0,23.0,15.43,61.37,1
2021-09-29 22:00:00+00:00,371.0,24.0,15.46,64.52,1
2021-09-30 21:00:00+00:00,347.0,23.0,15.09,58.4,1
2021-10-01 20:00:00+00:00,346.0,23.0,15.04,57.6,1
2021-10-02 20:00:00+00:00,364.0,24.0,15.17,62.02,1
2021-10-03 19:00:00+00:00,335.0,23.0,14.57,50.89,1
2021-10-04 19:00:00+00:00,318.0,24.0,13.25,40.52,1
2021-10-05 18:00:00+00:00,302.0,23.0,13.13,36.99,1
2021-10-06 17:00:00+00:00,205.0,16.6,12.35,27.92,1
2021-10-07 17:00:00+00:00,101.0,8.5,11.88,19.39,1
2021-10-08 17:00:00+00:00,0.0,0.0,,7.75,1
2021-10-09 17:00:00+00:00,85.0,6.4,13.28,18.45,1
2021-10-10 17:00:00+00:00,85.0,6.1,13.93,15.71,1
2021-10-11 17:00:00+00:00,276.0,13.8,20.0,65.34,1
2021-10-12 18:00:00+00:00,389.0,25.0,15.56,58.35,1
2021-10-13 19:00:00+00:00,303.0,25.0,12.12,43.12,1
2021-10-14 19:00:00+00:00,274.0,22.5,12.18,35.55,1
2021-10-15 19:00:00+00:00,0.0,0.0,,7.94,1
2021-10-16 19:00:00+00:00,49.0,3.3,14.85,16.35,1
2021-10-17 20:00:00+00:00,444.0,25.0,17.76,83.03,1
2021-10-18 20:00:00+00:00,433.0,24.0,18.04,81.31,1
2021-10-19 21:00:00+00:00,431.0,25.0,17.24,83.8,1
2021-10-20 22:00:00+00:00,403.0,25.0,16.12,80.88,1
2021-10-21 22:00:00+00:00,424.0,24.0,17.67,80.01,1
2021-10-22 23:00:00+00:00,452.0,25.0,18.08,87.65,1
2021-10-24 00:00:00+00:00,476.0,25.0,19.04,97.32,1
2021-10-25 00:00:00+00:00,441.0,24.0,18.38,90.43,1
2021-10-26 01:00:00+00:00,469.0,25.0,18.76,90.27,1
2021-10-27 01:00:00+00:00,405.0,24.0,16.88,72.54,1
2021-10-28 02:00:00+00:00,442.0,25.0,17.68,76.5,1
